Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Protein Groups
FALSE	High	Master Protein	ENST00000378024.p1	ENST00000378024.p1	0	3513.718	71	385	2998	385	5890	628.7	6.15	4947.27	385	1
FALSE	High	Master Protein	TALONT001142121.p1	TALONT001142121.p1	0	879.149	73	93	548	89	803	92.7	5.22	1157.61	93	1
FALSE	High	Master Protein	TALONT000873921.p1	TALONT000873921.p1	0	718.143	55	69	553	61	1041	120	6.58	904.01	69	1
FALSE	High	Master Protein	TALONT000660004.p1	TALONT000660004.p1	0	702.703	81	67	1510	59	466	53.6	5.12	2517.34	67	1
FALSE	High	Master Protein	TALONT003851062.p1	TALONT003851062.p1	0	654.7	69	87	775	5	729	80.9	8.27	1375.87	87	1
FALSE	High	Master Protein	TALONT003851078.p1	TALONT003851078.p1	0	645.365	81	84	741	2	572	65.1	6.84	1334.01	84	1
FALSE	High	Master Protein	ENST00000402696.p1	ENST00000402696.p1	0	630.815	65	64	632	64	698	77	7.12	1132.26	64	1
FALSE	High	Master Protein	TALONT000867195.p2	TALONT000867195.p2	0	595.265	81	66	531	63	556	64.3	5.29	972.22	66	1
FALSE	High	Master Protein	ENST00000378292.p1	ENST00000378292.p1	0	522.844	83	52	644	27	284	33	4.67	1173.52	52	1
FALSE	High	Master Protein	ENST00000360270.p1	ENST00000360270.p1	0	493.84	62	58	608	41	577	67.8	6.4	1034.28	58	1
FALSE	High	Master Protein	TALONT002188439.p1	TALONT002188439.p1	0	473.437	65	47	416	47	799	84.3	6.44	845.61	47	1
FALSE	High	Master Protein	ENST00000358278.p1	ENST00000358278.p1	0	465.396	90	49	485	9	284	32.9	4.78	943.6	49	1
FALSE	High	Master Protein	ENST00000646974.p1	ENST00000646974.p1	0	423.727	83	47	490	14	284	32.7	4.73	847.23	47	1
FALSE	High	Master Protein	ENST00000324460.p1	ENST00000324460.p1	0	419.858	62	52	323	50	654	72.3	5.16	568.77	52	1
FALSE	High	Master Protein	TALONT002155324.p1	TALONT002155324.p1	0	408.426	60	51	351	2	483	53.7	5.59	515.89	51	1
FALSE	High	Master Protein	TALONT002155431.p1	TALONT002155431.p1	0	407.029	69	50	332	1	408	46.2	5.17	498.54	50	1
FALSE	High	Master Protein	ENST00000361901.p1	ENST00000361901.p1	0	406.891	68	54	254	3	538	62.6	6.37	439.24	54	1
FALSE	High	Master Protein	ENST00000424922.p1	ENST00000424922.p1	0	402.012	68	54	242	3	535	61.5	6.47	433.33	54	1
FALSE	High	Master Protein	TALONT001832471.p1	TALONT001832471.p1	0	390.76	82	41	481	13	248	28.6	4.7	885.34	41	1
FALSE	High	Master Protein	ENST00000325327.p1	ENST00000325327.p1	0	376.093	60	59	294	52	620	69.9	5.59	538.67	59	1
FALSE	High	Master Protein	ENST00000330188.p1	ENST00000330188.p1	0	375.99	82	39	418	6	248	28.9	4.75	810.48	39	1
FALSE	High	Master Protein	ENST00000246043.p1	ENST00000246043.p1	0	375.055	52	58	180	58	1410	152.4	8.6	301.27	58	1
FALSE	High	Master Protein	TALONT001896212.p1	TALONT001896212.p1	0	373.782	52	48	235	36	745	86.9	5.3	413.9	48	1
FALSE	High	Master Protein	TALONT001439872.p1	TALONT001439872.p1	0	373.761	74	41	640	41	339	38.6	7.75	1094.11	41	1
FALSE	High	Master Protein	ENST00000368531.p1	ENST00000368531.p1	0	373.076	76	37	419	6	250	29.2	4.81	800.82	37	1
FALSE	High	Master Protein	ENST00000267996.p1	ENST00000267996.p1	0	372.302	87	42	429	13	284	32.7	4.74	787.07	42	1
FALSE	High	Master Protein	ENST00000438964.p1	ENST00000438964.p1	0	359.437	45	50	331	2	887	102.6	5.5	572.53	50	1
FALSE	High	Master Protein	ENST00000193403.p1	ENST00000193403.p1	0	357.568	45	49	329	1	892	103	5.41	583.72	49	1
FALSE	High	Master Protein	TALONT001189835.p1	TALONT001189835.p1	0	356.226	50	51	183	32	751	84.6	5.48	330.17	51	1
FALSE	High	Master Protein	ENST00000493945.p1	ENST00000493945.p1	0	329.452	63	32	1133	1	375	41.7	5.48	1910.13	32	1
FALSE	High	Master Protein	ENST00000404484.p1	ENST00000404484.p1	0	326.591	88	40	368	8	248	28.7	4.82	681.32	40	1
FALSE	High	Master Protein	ENST00000373960.p1	ENST00000373960.p1	0	325.653	70	49	282	43	470	53.5	5.27	521.54	49	1
FALSE	High	Master Protein	ENST00000371646.p1	ENST00000371646.p1	0	324.21	42	45	308	24	755	86.8	5.08	483.56	45	1
FALSE	High	Master Protein	ENST00000216281.p1	ENST00000216281.p1	0	323.162	40	42	275	20	732	84.6	5.02	473.27	42	1
FALSE	High	Master Protein	ENST00000575842.p1	ENST00000575842.p1	0	322.111	63	32	1130	1	375	41.8	5.48	1901.38	32	1
FALSE	High	Master Protein	ENST00000358901.p1	ENST00000358901.p1	0	314.475	39	42	225	42	806	89.3	5.26	337.69	42	1
FALSE	High	Master Protein	ENST00000373818.p1	ENST00000373818.p1	0	313.7	40	35	287	1	782	85.6	6.28	420.63	35	1
FALSE	High	Master Protein	ENST00000367429.p1	ENST00000367429.p1	0	308.721	43	48	211	48	1231	139	6.62	294.23	48	1
FALSE	High	Master Protein	ENST00000295598.p1	ENST00000295598.p1	0	307.518	39	45	219	40	1023	112.8	5.49	365.14	45	1
FALSE	High	Master Protein	ENST00000367075.p1	ENST00000367075.p1	0	301.544	50	46	309	31	575	68.1	6.07	463.73	46	1
FALSE	High	Master Protein	ENST00000311151.p1	ENST00000311151.p1	0	292.798	55	26	374	24	572	62.3	6.38	612.24	26	1
FALSE	High	Master Protein	ENST00000261366.p1	ENST00000261366.p1	0	292.634	53	48	178	41	586	66.4	5.16	219.45	48	1
FALSE	High	Master Protein	TALONT002300037.p1	TALONT002300037.p1	0	292.303	40	34	273	1	731	80.6	5.85	391.71	34	1
FALSE	High	Master Protein	ENST00000309311.p1	ENST00000309311.p1	0	292.247	37	35	291	34	858	95.3	6.83	387.63	35	1
FALSE	High	Master Protein	TALONT002305971.p1	TALONT002305971.p1	0	291.019	38	35	270	1	795	87	6.28	386.5	35	1
FALSE	High	Master Protein	TALONT002369270.p1	TALONT002369270.p1	0	290.861	57	29	958	11	377	42	5.39	1575.36	29	1
FALSE	High	Master Protein	ENST00000534624.p1	ENST00000534624.p1	0	289.288	46	36	283	24	646	70.9	5.52	488.1	36	1
FALSE	High	Master Protein	ENST00000645495.p1	ENST00000645495.p1	0	288.331	45	44	283	25	583	68.5	6.37	428.3	44	1
FALSE	High	Master Protein	ENST00000403106.p1	ENST00000403106.p1	0	286.083	47	34	360	34	662	71.7	7.9	538.48	34	1
FALSE	High	Master Protein	ENST00000340384.p1	ENST00000340384.p1	0	279.411	54	22	671	3	445	49.8	4.89	855.89	22	1
FALSE	High	Master Protein	ENST00000374525.p1	ENST00000374525.p1	0	278.409	40	37	202	37	949	104.2	5.08	304.44	37	1
FALSE	High	Master Protein	ENST00000373316.p1	ENST00000373316.p1	0	272.228	72	35	307	35	448	47.8	8.48	451.33	35	1
FALSE	High	Master Protein	ENST00000510756.p1	ENST00000510756.p1	0	270.987	54	37	214	32	769	82.4	5.2	314.24	37	1
FALSE	High	Master Protein	ENST00000361566.p1	ENST00000361566.p1	0	270.536	67	35	285	25	400	44.1	5.14	438.24	35	1
FALSE	High	Master Protein	ENST00000356674.p1	ENST00000356674.p1	0	263.392	49	26	212	4	397	41.8	9.29	332.35	26	1
FALSE	High	Master Protein	ENST00000327892.p1	ENST00000327892.p1	0	260.415	55	22	663	3	444	49.6	4.89	862.25	22	1
FALSE	High	Master Protein	ENST00000343218.p1	ENST00000343218.p1	0	254.425	48	29	214	27	684	73.9	6.35	365.39	29	1
FALSE	High	Master Protein	ENST00000640218.p1	ENST00000640218.p1	0	253.033	37	40	173	39	825	90.5	6	246.52	40	1
FALSE	High	Master Protein	ENST00000539310.p1	ENST00000539310.p1	0	252.073	42	32	174	23	630	70.8	5.6	288.43	32	1
FALSE	High	Master Protein	ENST00000355906.p1	ENST00000355906.p1	0	252.064	48	25	481	10	420	46.7	6.74	802.98	25	1
FALSE	High	Master Protein	ENST00000302763.p1	ENST00000302763.p1	0	249.433	39	39	148	39	906	100	6.29	238.35	39	1
FALSE	High	Master Protein	TALONT002123722.p1	TALONT002123722.p1	0	248.939	61	42	256	32	434	48.9	5.29	435.08	42	1
FALSE	High	Master Protein	ENST00000331483.p1	ENST00000331483.p1	0	242.51	63	42	200	38	508	57.1	4.87	287.58	42	1
FALSE	High	Master Protein	TALONT000311968.p1	TALONT000311968.p1	0	241.663	54	21	267	19	259	29.5	5.06	463.31	21	1
FALSE	High	Master Protein	ENST00000599920.p1	ENST00000599920.p1	0	241.116	43	40	123	31	997	113.2	7.59	200.1	40	1
FALSE	High	Master Protein	ENST00000360526.p1	ENST00000360526.p1	0	240.37	51	31	195	31	568	62.6	6.6	327.6	31	1
FALSE	High	Master Protein	TALONT003064799.p1	TALONT003064799.p1	0	240.108	63	44	239	44	667	75.2	5.67	350.01	44	1
FALSE	High	Master Protein	ENST00000323076.p1	ENST00000323076.p1	0	238.336	47	34	225	26	627	70.2	5.43	347.74	34	1
FALSE	High	Master Protein	ENST00000270233.p1	ENST00000270233.p1	0	237.146	48	27	157	27	628	67.4	5.81	224.66	27	1
FALSE	High	Master Protein	ENST00000395353.p1	ENST00000395353.p1	0	236.953	42	43	192	43	893	99.3	5.48	240.61	43	1
FALSE	High	Master Protein	ENST00000300289.p1	ENST00000300289.p1	0	234.036	46	33	206	33	505	56.7	6.35	373.21	33	1
FALSE	High	Master Protein	ENST00000360787.p1	ENST00000360787.p1	0	228.707	50	25	212	3	409	43.2	9.39	327.97	25	1
FALSE	High	Master Protein	ENST00000368223.p1	ENST00000368223.p1	0	225.4	35	45	122	45	1422	155	4.27	185.94	45	1
FALSE	High	Master Protein	ENST00000333628.p1	ENST00000333628.p1	0	223.828	49	19	603	1	445	49.9	4.89	764.11	19	1
FALSE	High	Master Protein	ENST00000341247.p1	ENST00000341247.p1	0	223.761	47	36	106	35	759	85.2	6.84	146.39	36	1
